b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
640	283	123	53	1082	633	209	123	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms020	Shamela0023735-ara1.mARkdown.ms2756	1541	1597	293	بين ----عرفات والمزدلفة والمازمان شعب بين جبلين يفضي اخره الي بطن عرنة وهو واد بين المازمين وبين عرفة وعرفة ما بين وادي عرنة الي حاءط بني عامر الي ما اقبل علي الصخرات التي يكون بها موقف الامام والي طريق--------- حضن وبحاءط بني عامر نخيل وكذلك في غربي عرفة وعرنة بقرب المسجد الذي يجمع فيه الامام بين --صلاتي- الظهر والعصر في يوم عرفة ونخيل الحاءط والعين تنسب الي عبد الله بن عامر بن كريز وليس عرفات من الحرم وانما حد الحرم من المازمين فاذا جزتهما الي العلمين	بين المشعر الحرام وعرفة وهو------ شعب بين جبلين يفضي اخره الي بطن عرنة وهو --------------------------------------------------------------------الي ما اقبل علي الصخرات التي يكون بها موقف الامام -الي طريق يفضي الي حصن و-حاءط بني عامر عند عرفة وبه---------------------- المسجد الذي يجمع فيه الامام بين الصلاتين الظهر والعصر وهو حاءط نخيل وبه ----------عين تنسب الي عبد الله بن عامر بن كريز وليس عرفات من الحرم وانما حد الحرم من المازمين فاذا جزتهما الي العلمين	486.5	20	2756	300	300	5226917185647412301	871069257866369684	232	458	63.97380065917969	51	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
389	1177	70	224	789	1419	151	275	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms021	Shamela0023735-ara1.mARkdown.ms1007	1581	1566	161	بعضها من الحل وبعضها من الحرم وهو مكان صد المشركون فيه رسول الله صلي الله عليه وسلم عن المسجد الحرام من ابعد الحل الي البيت وليس هو في طول الحرم ظ ولا--- عرضه الا انها في- زاوية للحرم فلذلك صار بينها وبين المسجد اكثر من يوم فاما المدينة فهي اقل من نصف مكة وهي في حرة سبخة الارض ولها نخيل كثيرة ومياه نخيلهم ورزوعهم------------------------ من الابار يسقون بها العبيد وعليها سور والمسجد في نحو وسطها وقبر النبي صلي الله عليه وسلم	------في الحل وبعضها في الحرم وهو---------------------------------------------------------------------- ابعد الحل من- البيت وليس هو في طول الحرم-- ولا في عرضه بل هو في مثل زاوية الحرم فلذلك صار بينها وبين المسجد اكثر من يوم --------------------------------------------------------------------------------------وعند مالك بن انس انها جميعها من الحرم وقال محمد بن موسي الخوارزمي اعتم---------------------ر النبي صلي الله عليه وسلم	230.5	21	1007	300	300	-3829116900524113378	-1584171805403523116	123	428	37.6168212890625	28	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
614	252	117	48	1524	1136	289	216	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms021	Shamela0023735-ara1.mARkdown.ms2813	1581	1596	700	----المدينة فهي اقل من-- نصف مكة وهي في حرة سبخة الارض ولها نخيل كثيرة ومياه -نخيلهم ورزوعهم م-----ن الابار يسقون بها العبيد وعليها-- سور والمسجد في نحو وسطها وقبر النبي صلي الله عليه وسلم -----من المسجد في شرقيه قريبا من القبلة قريبا من الجدار الشرقي في بيت مرتفع ----------بين سقفه وسقف المسجد---- فرجة و---------لا باب له وله زاويتان --------------------------------------------والمنبر الذي كان يخطب عليه----- النبي صلي الله عليه وسلم قد غشي بمنبر اخر والروضة امام المنبر بينه وبين القبر والمصلي الذي كان النبي صلي الله عليه وعلي برزة عترته يصلي فيه الاعياد في غربي المدينة داخل سورها وبقيع الغرقد خارج السور بباب البقيع في شرقي المدينة وقباء خارج المدينة علي نحو ميلين الي ما يلي القبلة وهو مجمع بيوت الانصار يشبه القرية واحد جبل في شمالي المدينة وهو اقرب الجبال اليها علي نحو فرسخين منها وبقربها مزارع فيها ض------ياع لاهل المدينة ووادي العقيق فيما بينها وبين الفرع والفرع من المدينة علي اربعة ايام في جنوبيها وبها مسجد جامع غير ان اكثر هذه الضياع خراب وقتنا هذا وكذلك حوالي المدينة ضياع كثيرة قد خربت ----	قدرها------ فهي في مقدار نصف مكة وهي في حرة سبخة الارض ولها نخيل كثيرة ومياه ونخيلهم وزروعهم تسقي من الابار علي----ها العبيد وللمدينة سور والمسجد في نحو وسطها وقبر النبي صلي الله عليه وسلم في شرقي المسجد وهو----------------------------------------------- بيت مرتفع ليس بينه وبين ------سقف المسجد الا فرجة وهو مسدود لا باب له وفيه قبر النبي صلي الله عليه وسلم وقبر ابي بكر وقبر عمر والمنبر الذي كان يخطب عليه رسول ال-له صلي الله عليه وسلم قد غشي بمنبر اخر والروضة امام المنبر بينه وبين القبر و--مصلي--------- النبي صلي الله عليه وسلم الذي كان-- يصلي فيه الاعياد في غربي المدينة داخل الباب وبقيع الغرقد خارج المدينة من شرقيها---------------- وقباء خارج المدينة علي نحو ميلين الي ما يلي القبلة وهي شبيهة ب----------------القرية واحد جبل في شمال- المدينة وهو اقرب الجبال اليها مقدار-- فرسخين----- وبقربها مزارع فيها نخيل وضياع لاهل المدينة ووادي العقيق فيما بينها وبين الفرع والفرع من المدينة علي اربعة ايام في جنوبيها وبها مسجد جامع غير ان اكثر هذه الضياع خراب---------- وكذلك حوالي المدينة ضياع كثيرة اكثرها خراب	1155.5	21	2813	300	300	-3829116900524113378	-1115805820391641337	558	1011	69.2383804321289	115	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
1	1057	0	203	176	1243	33	238	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms021	Shamela0023735-ara1.mARkdown.ms2959	1581	1569	149	الادمان علي شرب ماءها وليس بجميع مكة شجر مثمر غير شجر البادية واذا جزت الحرم فهناك عيون وابار وحواءط كثيرة واودية ذات خضر ومزارع ونخيل ويقال ان بفخ------------------- نخيلات يسيرة متفرقة وهي من	الادمان علي شرب----ها وليس بجميع مكة شجر مثمر الا شجر البادية فاذا جزت الحرم فهناك عيون وابار وحواءط كثيرة واودية ذات خضر ومزارع ونخيل واما الحرم فليس به شجر مثمر الا نخيل-- يسيرة متفرقة واما --	259.0	21	2959	300	300	-3829116900524113378	6964817066701608231	121	194	76.80412292480469	24	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
71	703	13	132	513	1165	98	221	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms023	Shamela0023735-ara1.mARkdown.ms0995	1546	1567	344	قرية صغيرة قليلة السكان وهي من وادي القري علي يوم بين جبال وبها كانت ديا-ر ثمود الذي قال الله تعالي وتنحتون من الجبال بيوتا ف-رهين وذكر ابو اسحاق الفارسي ان بيوتها منقورة كبيوتنا في اضعاف جبالها وتدعي تلك الجبال الاثالب وهي جبال في العيان------------------ متصلة حتي اذا توسطت كانت كل قطعة منها قاءمة بذات-ها يطوف بكل قطعة منها الطاءف ودونها جبال رمال لا يكاد يرتقي الي ذراها------------------------------ الا بمشقة شديدة وبها بءر ثمود التي قال الله تعالي في الناقة لها شرب ولكم شرب يوم معلوم	قرية صغيرة قليلة السكان وهو من وادي القري علي يوم بين جبال وبها كانت منازل ثمود----- قال الله تعالي وتنحتون من الجبال بيوتا فارهين --------------قال ورايتها بيوت-ا مثل ----بيوتنا في اضعاف جبال-- وتسمي تلك الجبال الاثالث وهي جبال اذا راها الراءي من بعد ظنها متصلة ف---اذا توسطها راي كل قطعة منها منفردة بنفسها يطوف بكل قطعة منها الطاءف وحواليها الرم--ل لا تكاد ترتقي كل قطعة منها قاءمة بنفسها لا يصعدها احد الا بمشقة شديدة وبها بءر ثمود التي قال الله فيها وفي الناقة لها شرب ولكم شرب يوم معلوم	544.0	23	995	300	300	1802675135358360343	1709207696679803190	273	493	69.7768783569336	55	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
748	132	146	27	945	337	185	68	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms023	Shamela0023735-ara1.mARkdown.ms2806	1546	1547	179	علي بحر القلزم محاذية لتبوك علي نحو--- ست مراحل ومدين اكبر من تبوك وبها البءر التي استسقي منها موسي عليه السلام لساءمة شعيب وهي ------------بءر مغطاة قد عمل عليها بيت وماء اهلها من عين تجري لهم ومدين اسم القبيلة	علي بحر القلزم محاذية لتبوك علي نحو من ست مراحل وهي-- اكبر من تبوك وبها البءر التي است-قي منها موسي عليه السلام لساءمة شعيب قال ورايت هذه البءر مغطاة قد بني عليها بيت وماء اهلها من عين تجري ومد----ين اسم القبيلة	322.5	23	2806	300	300	1802675135358360343	7162291378257777512	141	212	84.4339599609375	31	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
1121	360	214	75	1423	653	269	128	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms028	Shamela0023735-ara1.mARkdown.ms3067	1596	1527	269	همدان واشعر وكندة وخولان فبلاد مفترشة في اعراض اليمن وفي اضعافها مخاليف وزر-ع وبها بواد وقري تشتمل- علي بعض تهامة وبعض نجد ونجد اليمن من شرقي تهامة وهي قليلة الجبال مستوية البقاع ونجد اليمن غير نجد الحجاز غير ان جنوبي نجد الحجاز يتصل بشمال- نجد اليمن وبين البحرين وبين عمان برية -منيعة السلوك وباليمن قرود	همدان واشعر وكندة وخولان فانها مفترشة في اعراض اليمن وفي اضعافها مخاليف وزروع وبها بواد وقري مشتملة علي بعض تهامة وبع-----ض نجد اليمن في شرقي تهامة وهي قليلة الجبال مستوية البقاع ونجد اليمن غير نجد الحجاز غير ان جنوبي نجد الحجاز يتصل بشمالي نجد اليمن وبين النجدين و----عمان برية ممتنعة ----ونجد اليمن اراد	485.0	28	3067	300	300	-4811657398452117947	-1277694744786143195	218	306	87.90849304199219	41	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
836	187	166	35	1131	473	225	93	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms029	Shamela0023735-ara1.mARkdown.ms2702	1543	1575	252	فاما المسافات في اضعافها فان -من الكوفة الي المدينة نحو عشرين مرحلة ومن المدينة الي مكة مسافة عشر مراحل في طريق الجادة ومن الكوفة الي مكة طريق اخصر من هذا الطريق بنحو--- ثلاث مراحل----- اذا انتهي الي م------عدن النقرة عدل عن المدينة حتي يخرج علي معدن بني سليم ثم الي ذات عرق حتي ينتهي الي مكة واما طريق البصرة	واما المسا---------------فات فمن الكوفة الي المدينة نحو عشرين مرحلة ومن المدينة الي مكة نحو-- عشر مراحل في طريق الجادة ومن الكوفة الي مكة اق-----صر من هذا الطريق -نحو من ثلاث مراحل لانه اذا انتهي الحاج الي معدن النقرة عدل عن المدينة حتي يخرج الي معدن بني سليم ثم الي ذات عرق حتي ينتهي الي مكة و-من حفاظ الكوفة	449.0	29	2702	300	300	457237685454703188	-1103185397778448665	198	310	81.29032135009766	42	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
836	1273	166	251	1295	1535	254	300	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms029	Shamela0023735-ara1.mARkdown.ms2821	1543	1535	179	فاما المسافات في اضعافها فان من الكوفة الي المدينة نحو عشرين مرحلة ومن المدينة الي مكة مسافة عشر مراحل في طريق الجادة ومن الكوفة الي مكة طريق اخصر من هذا الطريق بنحو ثلاث مراحل اذا انتهي الي معدن النقرة عدل عن المدينة حتي يخرج علي معدن بني سليم ثم الي ذات عرق حتي ينتهي الي مكة واما طريق البصرة فالي المدينة------- ثماني عشرة مرحلة ويلتقي مع طريق الكوفة بقرب معدن النقرة واما طريق----------------------------------- البحرين الي المدينة فنحو خمس عشرة مرحلة واما طريق الرقة الي المدينة فنحو عشرين مرحلة	واما المسافات----------- فان--------------------------------------- من المدينة الي مكة نحو-- عشر مراحل--------------- ومن الكوفة الي المدينة نحو عشرين مرحلة وطريق----------------------------------------------------------------------------------------------------------------------------- البصرة -الي المدينة نحو من ثماني عشرة مرحلة ويلتقي مع طريق الكوفة بقرب معدن النقرة ومن الرقة الي المدينة نحو من عشرين مرحلة ومن البحرين الي المدينة -نحو خمس عشرة مرحلة ---------------------------------------------	242.0	29	2821	300	300	457237685454703188	-1312520546070466550	145	501	35.72854232788086	27	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
719	9	134	1	1175	462	216	84	true	false	-7557224393457781396	-1987561211053828885	Shamela0011780-ara1.mARkdown.ms030	Shamela0023735-ara1.mARkdown.ms2960	1620	1582	348	ومخاليفها ---يسلكه----- الخواص منهم واما اهل حضرموت ومهرة فانهم يقطعون عرض بلادهم حتي يتصلوا بالجادة ب-----ين عدن ومكة والمسافة م-نهم الي الاتصال بهذه الجادة اثنتان وعشرون مرحلة فيصير جميع طريقهم نيفا وخمسين مرحلة وطر---يق عمان يصعب سلوكه في البرية لكثرة------------------------------ القفار وق--لة السكان وانما طريقهم في البحر الي جدة فان سلكوا علي السواحل من مهرة وحضر موت الي عدن او الي طريق عدن بعد عليهم وقل ما يسلكونه وكذلك ما بين عمان والبحرين فطريق شاق يصعب سلوكه لتمانع العرب وتنازعهم فيما بينهم	ومخال-فها لا يسلكها الا الخواص منهم واما اهل حضرموت ومهرة فانهم يقطعون عرض بلادهم حتي يتصلوا بالجادة التي بين عدن ومكة والمسافة بينهم الي الامصار بهذه الجادة من نحو الشهر الي ال-------------------------خمسين يوما واما طريق عمان الي مكة فهو مثل طريق دمشق صعب السلوك من البوادي والبراري القفر القليلة السكان وانما طريقهم في البحر الي جدة فان سلكوا علي السواحل من مهرة وحضر-موت الي ----------------عدن بعد عليهم وقل ما يسلكونه وكذلك ما بين عمان والبحرين فطريق شاق يصعب سلوكه لتمانع العرب--------- فيما بينهم	582.0	30	2960	300	300	-8664698973041159664	4497497401388368511	283	505	68.910888671875	55	Shamela0011780-ara1.mARkdown	Shamela0023735-ara1.mARkdown
